Parameters for this run: 
MM = 256.000000 
t_end = 1.000000 
factor = 0.960000 
dtout = 1.000000 
D = 0.100000 
a = 0.000000 
b = 1.000000 
 
Number of workers = 8
 
# U, u_exact, error at time = 1.000048828125
4.227875531316448166e-02 4.227992030541793955e-02 1.164992253457897142e-06
4.140009151159365630e-02 4.140127050809949694e-02 1.178996505840634867e-06
4.053694158752931681e-02 4.053813408833117915e-02 1.192500801862339532e-06
3.968909630450866838e-02 3.969030182640165272e-02 1.205521892984340315e-06
3.885634782104825657e-02 3.885756589793720739e-02 1.218076888950814229e-06
3.803848971300034798e-02 3.803971989624677086e-02 1.230183246422877907e-06
3.723531699508281223e-02 3.723655885384202779e-02 1.241858759215563879e-06
3.644662614158911823e-02 3.644787926313708404e-02 1.253121547965807547e-06
3.567221510628523773e-02 3.567347909633522551e-02 1.263990049987784303e-06
3.491188334150072820e-02 3.491315782450910010e-02 1.274483008371907200e-06
3.416543181642115595e-02 3.416671643588309326e-02 1.284619461937308582e-06
3.343266303458957561e-02 3.343395745332389257e-02 1.294418734316959974e-06
3.271338105062479573e-02 3.271468495104837976e-02 1.303900423584025692e-06
3.200739148616443125e-02 3.200870457055510904e-02 1.313084390677787816e-06
3.131450154504101385e-02 3.131582353578966221e-02 1.321990748648360636e-06
3.063452002769952512e-02 3.063585066755225225e-02 1.330639852727133476e-06
2.996725734486496359e-02 2.996859639715280035e-02 1.339052287836761668e-06
2.931252553046870615e-02 2.931387277932684735e-02 1.347248858141192329e-06
2.867013825384270159e-02 2.867149350441917585e-02 1.355250576474259505e-06
2.803991083119046143e-02 2.804127390984202661e-02 1.363078651565180488e-06
2.742166023634430225e-02 2.742303099082281023e-02 1.370754478507985041e-06
2.681520511081809249e-02 2.681658341044372215e-02 1.378299625629658687e-06
2.622036577316521483e-02 2.622175150899005644e-02 1.385735824841610730e-06
2.563696422765125715e-02 2.563835731261010845e-02 1.393084958851292798e-06
2.535089419995131127e-02 2.535089419995131127e-02 0.000000000000000000e+00
 
Maximum error = 5.239595197881197e-06 at time = 1.000048828125
 
